Nom,Age,Nationalite,Valeur_Marchande,Prix_Raw,URL_Profil
Yannick Carrasco,30,Belgique,"25,00 mio. €","15,00 mio. €",https://www.transfermarkt.fr/yannick-carrasco/profil/spieler/140776
Boulaye Dia,26,Sénégal,"25,00 mio. €","14,40 mio. €",https://www.transfermarkt.fr/boulaye-dia/profil/spieler/626913
Timothy Castagne,27,Belgique,"25,00 mio. €","13,00 mio. €",https://www.transfermarkt.fr/timothy-castagne/profil/spieler/262226
Franck Kessié,26,Côte d'Ivoire,"25,00 mio. €","12,50 mio. €",https://www.transfermarkt.fr/franck-kessie/profil/spieler/294808
Tetê,23,Brésil,"25,00 mio. €","1,00 mio. €",https://www.transfermarkt.fr/tete/profil/spieler/371256
Alejandro Grimaldo,27,Espagne,Inconnu,"25,00 mio. €",https://www.transfermarkt.fr/alejandro-grimaldo/profil/spieler/193082
Jadon Sancho,23,Angleterre,Inconnu,"25,00 mio. €",https://www.transfermarkt.fr/jadon-sancho/profil/spieler/401173
Youri Tielemans,26,Belgique,Inconnu,"25,00 mio. €",https://www.transfermarkt.fr/youri-tielemans/profil/spieler/249565
Marco Asensio,27,Espagne,Inconnu,"25,00 mio. €",https://www.transfermarkt.fr/marco-asensio/profil/spieler/296622
Davide Frattesi,23,Italie,Inconnu,"25,00 mio. €",https://www.transfermarkt.fr/davide-frattesi/profil/spieler/394300
Brenden Aaronson,22,États-Unis,Inconnu,"25,00 mio. €",https://www.transfermarkt.fr/brenden-aaronson/profil/spieler/393323
Taylor Harwood-Bellis,21,Angleterre,Inconnu,"25,00 mio. €",https://www.transfermarkt.fr/taylor-harwood-bellis/profil/spieler/503977
Enes Ünal,26,Turquie,Inconnu,"25,00 mio. €",https://www.transfermarkt.fr/enes-unal/profil/spieler/251106
Tijjani Reijnders,24,Pays-Bas,"14,00 mio. €","24,80 mio. €",https://www.transfermarkt.fr/tijjani-reijnders/profil/spieler/460939
Viktor Gyökeres,25,Suède,"13,00 mio. €","24,00 mio. €",https://www.transfermarkt.fr/viktor-gyokeres/profil/spieler/325443
Eljif Elmas,24,Macédoine du Nord,"24,00 mio. €","24,00 mio. €",https://www.transfermarkt.fr/eljif-elmas/profil/spieler/400489
Nathan Tella,24,Nigeria,"18,00 mio. €","23,30 mio. €",https://www.transfermarkt.fr/nathan-tella/profil/spieler/340322
Kalidou Koulibaly,32,Sénégal,"15,00 mio. €","23,00 mio. €",https://www.transfermarkt.fr/kalidou-koulibaly/profil/spieler/93128
Alex Scott,19,Angleterre,"20,00 mio. €","23,00 mio. €",https://www.transfermarkt.fr/alex-scott/profil/spieler/855256
Renan Lodi,25,Brésil,"20,00 mio. €","23,00 mio. €",https://www.transfermarkt.fr/renan-lodi/profil/spieler/476352
Gonçalo Guedes,26,Portugal,Inconnu,"23,00 mio. €",https://www.transfermarkt.fr/goncalo-guedes/profil/spieler/225122
Anthony Elanga,21,Suède,"18,00 mio. €","22,93 mio. €",https://www.transfermarkt.fr/anthony-elanga/profil/spieler/583189
Victor Boniface,22,Nigeria,"12,00 mio. €","22,60 mio. €",https://www.transfermarkt.fr/victor-boniface/profil/spieler/656681
Terem Moffi,24,Nigeria,"20,00 mio. €","22,50 mio. €",https://www.transfermarkt.fr/terem-moffi/profil/spieler/538874
Calvin Bassey,23,Nigeria,"15,00 mio. €","22,50 mio. €",https://www.transfermarkt.fr/calvin-bassey/profil/spieler/461883
Robert Sánchez,25,Espagne,"22,00 mio. €","23,00 mio. €",https://www.transfermarkt.fr/robert-sanchez/profil/spieler/403151
Kang-in Lee,22,Corée du Sud,"22,00 mio. €","22,00 mio. €",https://www.transfermarkt.fr/kang-in-lee/profil/spieler/557149
Luiz Felipe,26,Italie,"15,00 mio. €","22,00 mio. €",https://www.transfermarkt.fr/luiz-felipe/profil/spieler/457931
Djibril Sow,26,Suisse,"22,00 mio. €","10,00 mio. €",https://www.transfermarkt.fr/djibril-sow/profil/spieler/212723
Anatoliy Trubin,22,Ukraine,"22,00 mio. €","10,00 mio. €",https://www.transfermarkt.fr/anatoliy-trubin/profil/spieler/537844
Jack Harrison,26,Angleterre,Inconnu,"22,00 mio. €",https://www.transfermarkt.fr/jack-harrison/profil/spieler/417346
Wilfried Zaha,30,Côte d'Ivoire,Inconnu,"22,00 mio. €",https://www.transfermarkt.fr/wilfried-zaha/profil/spieler/145988
Tanguy Ndombélé,26,France,Inconnu,"22,00 mio. €",https://www.transfermarkt.fr/tanguy-ndombele/profil/spieler/450936
Luis Sinisterra,24,Colombie,Inconnu,"22,00 mio. €",https://www.transfermarkt.fr/luis-sinisterra/profil/spieler/512385
Cameron Archer,21,Angleterre,"12,00 mio. €","21,55 mio. €",https://www.transfermarkt.fr/cameron-archer/profil/spieler/533662
Adam Wharton,19,Angleterre,"10,00 mio. €","21,10 mio. €",https://www.transfermarkt.fr/adam-wharton/profil/spieler/744149
Yassine Bounou,32,Maroc,"12,00 mio. €","21,00 mio. €",https://www.transfermarkt.fr/yassine-bounou/profil/spieler/207834
Josip Sutalo,23,Croatie,"18,00 mio. €","20,50 mio. €",https://www.transfermarkt.fr/josip-sutalo/profil/spieler/371001
Milos Kerkez,19,Hongrie,"15,00 mio. €","20,47 mio. €",https://www.transfermarkt.fr/milos-kerkez/profil/spieler/730861
