Nom,Age,Nationalite,Prix_Raw,URL_Profil,Position,Matchs_22_23,Buts_22_23,Minutes_22_23
Javi Galán,31,Espagne,"5,00 mio. €",https://www.transfermarkt.fr/javi-galan/profil/spieler/448628,Arrière gauche,40,1,3372
Amine Harit,28,Maroc,"5,00 mio. €",https://www.transfermarkt.fr/amine-harit/profil/spieler/372711,Ailier gauche,16,1,901
Fran García,26,Espagne,"5,00 mio. €",https://www.transfermarkt.fr/fran-garcia/profil/spieler/341264,Arrière gauche,40,2,3484
Bryan Zaragoza,24,Espagne,"Montant du prêt:4,00 mio. €",https://www.transfermarkt.fr/bryan-zaragoza/profil/spieler/713644,Ailier gauche,36,5,1162
Mergim Berisha,27,Allemagne,"4,00 mio. €",https://www.transfermarkt.fr/mergim-berisha/profil/spieler/307924,Avant-centre,24,10,1705
Eric Dier,32,Angleterre,"Montant du prêt:3,50 mio. €",https://www.transfermarkt.fr/eric-dier/profil/spieler/175722,Défenseur central,42,2,3616
Sheraldo Becker,30,Suriname,"3,00 mio. €",https://www.transfermarkt.fr/sheraldo-becker/profil/spieler/188888,Ailier gauche,48,12,3749
Çağlar Söyüncü,29,Turquie,"Montant du prêt:2,00 mio. €",https://www.transfermarkt.fr/caglar-soyuncu/profil/spieler/320141,Défenseur central,9,1,709
Joaquín Correa,31,Argentine,"Montant du prêt:2,00 mio. €",https://www.transfermarkt.fr/joaquin-correa/profil/spieler/227081,Deuxième attaquant,41,4,1408
Angeliño,29,Espagne,"Montant du prêt:1,50 mio. €",https://www.transfermarkt.fr/angelino/profil/spieler/277179,Arrière gauche,35,1,2801
Wout Weghorst,33,Pays-Bas,"Montant du prêt:1,50 mio. €",https://www.transfermarkt.fr/wout-weghorst/profil/spieler/228645,Avant-centre,49,11,3154
José Cifuentes,26,Équateur,"1,40 mio. €",https://www.transfermarkt.fr/jose-cifuentes/profil/spieler/450211,Milieu central,26,2,1821
Victor Kristiansen,23,Danemark,"Montant du prêt:1,00 mio. €",https://www.transfermarkt.fr/victor-kristiansen/profil/spieler/564529,Arrière gauche,38,1,2792
Juanmi,32,Espagne,"Montant du prêt:1,00 mio. €",https://www.transfermarkt.fr/juanmi/profil/spieler/126737,Ailier gauche,27,4,1210
Joe Worrall,29,Angleterre,Montant du prêt:500 K €,https://www.transfermarkt.fr/joe-worrall/profil/spieler/415970,Défenseur central,34,1,2576
Marquinhos,22,Brésil,Montant du prêt:300 K €,https://www.transfermarkt.fr/marquinhos/profil/spieler/668268,Ailier droit,22,6,1246
Naby Keïta,30,Guinée,Tr. libre,https://www.transfermarkt.fr/naby-keita/profil/spieler/302215,Milieu central,13,0,488
Daniel Amartey,31,Ghana,Tr. libre,https://www.transfermarkt.fr/daniel-amartey/profil/spieler/214056,Défenseur central,24,0,1970
Branco van den Boomen,30,Pays-Bas,Tr. libre,https://www.transfermarkt.fr/branco-van-den-boomen/profil/spieler/203938,Milieu central,40,6,3209
Mahmoud Dahoud,30,Syrie,Tr. libre,https://www.transfermarkt.fr/mahmoud-dahoud/profil/spieler/191422,Milieu central,10,0,418
Moussa Dembélé,29,France,Tr. libre,https://www.transfermarkt.fr/moussa-dembele/profil/spieler/229004,Avant-centre,28,3,1074
Joseph Paintsil,28,Ghana,"8,50 mio. €",https://www.transfermarkt.fr/joseph-paintsil/profil/spieler/534435,Ailier gauche,39,18,3185
Musa Barrow,27,Gambie,"6,00 mio. €",https://www.transfermarkt.fr/musa-barrow/profil/spieler/486624,Ailier gauche,35,3,2123
Nino,28,Brésil,"5,00 mio. €",https://www.transfermarkt.fr/nino/profil/spieler/520454,Défenseur central,55,5,4747
Altay Bayındır,27,Turquie,"5,00 mio. €",https://www.transfermarkt.fr/altay-bayindir/profil/spieler/336077,Gardien de but,40,0,3630
Duje Caleta-Car,29,Croatie,"Montant du prêt:1,54 mio. €",https://www.transfermarkt.fr/duje-caleta-car/profil/spieler/238266,Défenseur central,20,2,1472
Leander Dendoncker,30,Belgique,Montant du prêt:608 K €,https://www.transfermarkt.fr/leander-dendoncker/profil/spieler/168157,Milieu défensif,26,0,1049
Andrea Petagna,30,Italie,"9,70 mio. €",https://www.transfermarkt.fr/andrea-petagna/profil/spieler/199258,Avant-centre,32,5,1689
Róger Guedes,29,Brésil,"9,10 mio. €",https://www.transfermarkt.fr/roger-guedes/profil/spieler/348263,Deuxième attaquant,41,21,3633
Gianluca Prestianni,20,Argentine,"9,00 mio. €",https://www.transfermarkt.fr/gianluca-prestianni/profil/spieler/1000674,Ailier droit,33,3,1660
Giovani,22,Brésil,"9,00 mio. €",https://www.transfermarkt.fr/giovani/profil/spieler/749560,Ailier droit,15,1,384
Lucas Boyé,29,Argentine,"8,74 mio. €",https://www.transfermarkt.fr/lucas-boye/profil/spieler/334222,Avant-centre,37,7,2580
