Nom,Age,Position_Encoded,Valeur_Marchande_Clean,Matchs_22_23,Buts_22_23,Minutes_22_23,Duree_Contrat,Prix,Ligue_Autre,Ligue_Bundesliga,Ligue_LaLiga,Ligue_Ligue 1,Ligue_Premier League,Ligue_Serie A
Corey Baird,30,4,,48,14,3382,1.0,2500000.0,True,False,False,False,False,False
Maximiliano Romero,27,4,2300000.0,40,7,2480,3.0,2470000.0,True,False,False,False,False,False
Mohammed Al-Mahasneh,28,1,175000.0,1,0,90,1.0,2410000.0,True,False,False,False,False,False
Panos Katseris,24,3,500000.0,18,1,856,5.0,2400000.0,False,False,False,True,False,False
Tommaso Augello,31,2,2000000.0,40,2,3231,4.0,2400000.0,True,False,False,False,False,False
Doğucan Haspolat,25,3,2400000.0,26,1,1216,4.0,600000.0,True,False,False,False,False,False
Manu Vallejo,28,4,,24,4,1052,1.0,2400000.0,True,False,False,False,False,False
Bartlomiej Dragowski,28,1,,35,0,3038,6.0,2400000.0,True,False,False,False,False,False
Efkan Bekiroğlu,30,3,,27,4,1532,3.0,2400000.0,True,False,False,False,False,False
Gennaro Tutino,29,4,,35,5,1591,3.0,2400000.0,True,False,False,False,False,False
Olivier Kemen,29,3,,31,3,2197,4.0,2400000.0,True,False,False,False,False,False
Bernard Mensah,31,3,,31,5,1966,4.0,2400000.0,True,False,False,False,False,False
Gastón Martirena,26,2,1200000.0,40,5,3098,4.0,2360000.0,True,False,False,False,False,False
Omri Gandelman,25,3,1500000.0,34,8,2594,6.0,2350000.0,False,False,False,False,False,True
Sergio Córdova,28,4,1500000.0,26,4,1250,6.0,2350000.0,True,False,False,False,False,False
Ashley Phillips,20,2,2000000.0,21,0,1338,3.0,2300000.0,True,False,False,False,False,False
Ross McCrorie,27,2,1000000.0,41,5,3603,3.0,2300000.0,True,False,False,False,False,False
Bobby Thomas,25,2,450000.0,51,7,4481,4.0,2300000.0,True,False,False,False,False,False
Milan Djuric,35,4,1000000.0,30,1,1471,4.0,2300000.0,False,False,False,False,False,True
Franco González,21,3,2300000.0,34,4,2094,1.0,1850000.0,True,False,False,False,False,False
Andrei Cordea,26,4,2300000.0,46,10,3189,1.0,1320000.0,True,False,False,False,False,False
Andrea Compagno,29,4,2300000.0,39,21,2915,1.0,120000.0,True,False,False,False,False,False
Matus Bero,30,3,,32,5,2837,3.0,2300000.0,True,False,False,False,False,False
Eden Karzev,25,3,,26,2,1998,4.0,2300000.0,True,False,False,False,False,False
Taylan Antalyalı,31,3,,33,3,2264,4.0,2300000.0,True,False,False,False,False,False
Petar Stojanović,30,3,,28,0,1644,5.0,2300000.0,True,False,False,False,False,False
Zinedine Ferhat,32,4,,25,2,1170,5.0,2300000.0,False,False,False,True,False,False
Carlos Strandberg,29,4,,26,15,2141,3.0,2300000.0,True,False,False,False,False,False
Emanuele Valeri,27,2,,42,2,3079,5.0,2300000.0,False,False,False,False,False,True
Álvaro González,36,2,,25,1,2188,1.0,2300000.0,True,False,False,False,False,False
Tatsuhiro Sakamoto,29,4,1000000.0,32,0,2785,4.0,2250000.0,True,False,False,False,False,False
Gonzalo Piovi,31,2,2000000.0,41,11,3535,5.0,2220000.0,True,False,False,False,False,False
Ryan Mmaee,28,4,2200000.0,36,13,2520,4.0,4000000.0,True,False,False,False,False,False
Christoph Klarer,25,2,2200000.0,33,2,2846,6.0,2300000.0,True,False,False,False,False,False
Matías Esquivel,26,3,2200000.0,39,3,2116,4.0,2300000.0,True,False,False,False,False,False
Ilias Koutsoupias,24,3,1300000.0,20,1,780,4.0,2200000.0,True,False,False,False,False,False
Reda Slim,26,4,2200000.0,40,13,3118,3.0,2000000.0,True,False,False,False,False,False
Omer Atzili,32,4,2200000.0,52,25,3506,4.0,2000000.0,True,False,False,False,False,False
Juan Portilla,27,3,2200000.0,41,1,3319,5.0,1800000.0,True,False,False,False,False,False
Mirko Antonucci,26,3,2200000.0,38,11,2969,3.0,1700000.0,True,False,False,False,False,False
Pavel Bucha,27,3,2200000.0,45,5,3688,3.0,1600000.0,True,False,False,False,False,False
Ben Pearson,31,3,2200000.0,23,0,1638,4.0,1500000.0,True,False,False,False,False,False
Taylor Gardner-Hickman,24,3,2200000.0,36,2,1556,3.0,1500000.0,True,False,False,False,False,False
Matteo Ricci,31,3,2200000.0,19,1,1366,3.0,1250000.0,True,False,False,False,False,False
Ben Wiles,26,3,2200000.0,27,2,2103,1.0,1100000.0,True,False,False,False,False,False
Nana Boateng,31,3,2200000.0,64,6,5053,4.0,1000000.0,True,False,False,False,False,False
Haris Tabakovic,31,4,2200000.0,39,19,2290,3.0,500000.0,False,True,False,False,False,False
Magomed Ozdoev,33,3,2200000.0,34,5,2788,3.0,450000.0,True,False,False,False,False,False
Milos Pantovic,23,4,2200000.0,32,7,2625,6.0,300000.0,True,False,False,False,False,False
Aleksandar Popovic,26,1,2200000.0,39,0,3510,3.0,210000.0,True,False,False,False,False,False
Pieter Gerkens,30,3,,25,1,1886,3.0,2200000.0,True,False,False,False,False,False
Koji Miyoshi,28,3,,15,1,867,5.0,2200000.0,True,False,False,False,False,False
Elias Cobbaut,28,2,,11,0,720,1.0,2200000.0,True,False,False,False,False,False
Luke McNally,26,2,,26,0,2165,5.0,2200000.0,True,False,False,False,False,False
Ibrahim Sissoko,30,4,,35,13,2333,4.0,2200000.0,True,False,False,False,False,False
Alassane Ndao,29,4,,24,1,1190,1.0,2200000.0,True,False,False,False,False,False
Pipa,28,2,,38,0,2723,3.0,2200000.0,True,False,False,False,False,False
Jay Dasilva,27,2,,38,0,2840,4.0,2200000.0,True,False,False,False,False,False
Joe Bryan,32,2,,11,1,482,4.0,2200000.0,True,False,False,False,False,False
Ivan Cavaleiro,32,4,,25,4,1246,1.0,2200000.0,True,False,False,False,False,False
Borja Sainz,24,4,,34,10,2745,7.0,2200000.0,True,False,False,False,False,False
Alfred Gomis,32,1,,18,0,1540,3.0,2200000.0,True,False,False,False,False,False
Borja Garcés,26,4,,38,4,2196,3.0,2200000.0,True,False,False,False,False,False
Paulo Victor,24,2,,21,0,1290,6.0,2200000.0,True,False,False,False,False,False
Noah Ohio,23,4,,33,7,1615,3.0,2200000.0,True,False,False,False,False,False
Halil Akbunar,32,4,,34,4,2263,5.0,2200000.0,True,False,False,False,False,False
Byron Castillo,27,2,,34,1,2195,3.0,2200000.0,True,False,False,False,False,False
Robson Bambu,28,2,,21,0,1511,1.0,2200000.0,True,False,False,False,False,False
Aké Loba,27,4,,15,3,862,1.0,2200000.0,True,False,False,False,False,False
Mbaye Diagne,34,4,,35,25,2670,4.0,2200000.0,True,False,False,False,False,False
Andrés Vombergar,31,4,,25,5,1801,1.0,2200000.0,True,False,False,False,False,False
Dermane Karim,22,3,300000.0,23,3,1820,3.0,2100000.0,False,False,False,True,False,False
Fernando,33,3,2100000.0,31,5,2621,1.0,1500000.0,True,False,False,False,False,False
Hyoran,32,3,,35,3,1632,1.0,2100000.0,True,False,False,False,False,False
Nicolás Fonseca,27,3,550000.0,34,1,2794,3.0,2069999.9999999998,False,False,True,False,False,False
Seydou Sano,21,2,150000.0,0,0,0,3.0,2040000.0,True,False,False,False,False,False
Sam Lammers,28,4,2000000.0,34,2,2043,4.0,4099999.9999999995,True,False,False,False,False,False
Toni Fruk,24,3,2000000.0,24,7,1685,4.0,4000000.0,True,False,False,False,False,False
Filippo Ranocchia,24,3,2000000.0,16,1,673,5.0,3880000.0,True,False,False,False,False,False
Nazareno Colombo,26,2,2000000.0,34,1,2620,4.0,2800000.0,True,False,False,False,False,False
Fabio Chiarodia,20,2,1000000.0,13,0,862,4.0,2000000.0,False,True,False,False,False,False
Maurice Malone,25,4,1800000.0,30,10,2473,1.0,2000000.0,False,True,False,False,False,False
Julián Malatini,24,2,1700000.0,41,0,2585,1.0,2000000.0,False,True,False,False,False,False
Benedict Hollerbach,24,4,1200000.0,41,19,2895,6.0,2000000.0,False,True,False,False,False,False
Sergi Altimira,24,3,300000.0,33,0,2266,6.0,2000000.0,False,False,True,False,False,False
Daisuke Yokota,25,4,1000000.0,15,2,1132,3.0,2000000.0,True,False,False,False,False,False
Uros Sremcevic,19,4,400000.0,29,11,1541,3.0,2000000.0,True,False,False,False,False,False
Kassoum Ouattara,21,2,600000.0,22,0,1613,5.0,2000000.0,False,False,False,True,False,False
Jenson Seelt,22,2,600000.0,33,4,2859,3.0,2000000.0,False,True,False,False,False,False
Douglas Mendes,21,2,150000.0,3,0,181,5.0,2000000.0,True,False,False,False,False,False
Étienne Camara,22,3,500000.0,22,0,1421,4.0,2000000.0,True,False,False,False,False,False
Frank Magri,26,4,1000000.0,25,13,1699,3.0,2000000.0,False,False,False,True,False,False
